15	200																																																																																																																																																																																																						
2394	436	1589	2282	1655	1771	1503	390	1996	1031	1079	2365	1583	2770	496	1865	2577	2098	1055	1544	2552	2080	2706	748	1851	1780	2894	986	2976	1642	197	231	1041	1716	582	442	2277	585	1401	1957	2430	2138	2036	1428	2388	2325	767	2004	153	2228	1013	2518	613	1090	2237	1662	1189	1010	2865	952	1249	1434	2201	2273	1759	2643	776	2211	334	687	3011	2840	723	2884	249	185	1607	1115	2486	1841	2131	2668	2066	3000	429	2226	439	2263	196	351	2774	470	328	1567	623	2162	1378	1546	1146	2675	2248	931	910	1019	1786	2990	2649	2704	1750	2877	1713	864	2166	447	911	2305	1807	2368	2803	2104	1888	232	56	2065	1731	1397	919	2713	2384	981	873	937	522	1491	2489	301	2832	200	706	2898	2023	1060	2531	874	1682	477	1687	1806	1380	1587	1637	711	1868	2937	1828	2946	482	563	568	920	1778	2079	1222	1070	1740	958	2179	473	2361	2047	1029	2817	23	191	766	2899	537	2820	2841	1103	2890	1336	2491	510	699	2535	275	2743	754	2642	2692	1690	79	2508	1016	102	990	525	783	2192
85	449	2852	1239	1723	2755	469	1946	317	2404	2281	802	156	1509	284	588	1739	2824	1696	1309	2583	1200	126	1649	627	2371	336	1725	80	2108	2270	556	1233	1792	2407	608	2960	518	88	943	1531	1182	494	1793	2326	2578	1694	2496	2494	2586	3034	128	478	1187	2676	1307	318	578	913	1939	1056	2331	625	1733	21	2837	2225	1513	8	773	989	1414	2504	2313	817	1704	545	2120	1211	520	933	855	2243	3020	438	1706	852	1444	2857	1754	2188	1183	2191	1999	1373	2753	3001	2234	2940	2647	488	267	112	2304	1402	1068	2350	606	1522	603	162	1371	1813	26	1631	1916	426	1457	2989	2584	2883	2575	372	2067	1717	181	1978	1960	2433	1372	466	1854	1179	815	1967	1685	2482	601	2251	2848	3006	2209	9	1341	2292	206	1688	862	962	2795	2507	52	246	401	935	234	450	178	2596	534	2102	2671	1785	1289	2934	1464	1285	1145	443	1234	576	2000	2026	2157	1338	2666	480	567	2998	1857	639	410	2130	1408	533	1216	2664	1181	602	2300	1660	770	1034	3032	1295	292	1961	2392	1108	1639
1590	1711	2165	302	1838	380	731	2808	228	866	2633	1346	718	2210	199	25	2089	2085	2422	2099	3027	1684	0	2055	2641	529	1274	1489	2686	704	1077	1315	1917	2424	2712	2409	904	2286	135	2827	2847	812	2823	742	2465	90	2772	2002	460	2240	2725	295	1318	1425	2458	339	1333	654	1087	1577	2868	1956	1746	2658	803	2151	2029	1788	2600	2606	1403	2559	2973	1564	1664	2773	2802	1705	3	1551	1586	1481	268	2426	846	757	1608	2155	1173	1645	1148	1074	2076	116	397	2028	389	2681	648	2320	1972	2951	277	2266	167	1884	909	2256	2718	2082	2855	1171	2059	922	509	1954	2807	2690	184	1007	841	2338	2836	1714	188	190	182	161	2853	814	835	992	619	1511	2200	1787	2413	271	2327	730	1170	1198	2128	2328	2608	2759	1919	2187	1172	2500	2688	412	3003	1294	32	2703	1496	2785	960	1617	1940	2238	2656	1221	2533	688	2833	118	1504	562	853	898	93	1777	2290	1899	1835	124	2352	2981	816	174	2717	2246	857	1476	471	843	444	751	12	195	2303	2754	2607	1008	670	173	1997	137
728	486	2311	1362	279	573	2943	1418	553	2687	1736	1832	72	997	681	2215	903	2562	2587	2484	1291	29	107	2058	3036	2503	1112	201	2137	1878	2355	2207	2048	2627	2149	175	1303	1238	2041	1675	1764	1466	2298	1632	1134	2118	651	2206	259	653	2915	2235	1995	2083	2843	713	1856	3037	2287	3024	2892	656	14	2446	2219	2542	2077	2544	216	2068	1497	2071	1502	2472	875	765	2113	2665	2001	2054	309	1776	209	110	1421	2284	1520	1781	1160	2804	1668	1203	363	1063	2224	1021	1281	1611	1448	2966	1174	441	1161	2473	837	2556	912	869	668	3033	1412	2175	143	1881	2042	1488	1966	2391	294	2376	887	1970	2711	2913	1048	2968	884	775	2470	1296	961	782	2280	384	2445	1143	611	2534	2588	1139	798	2558	2279	3016	198	1795	2357	1756	666	735	2288	955	2826	66	1598	1758	1025	2987	1729	2637	1624	2267	1728	2945	1791	1057	2359	2893	456	1670	542	1886	1721	2636	2344	136	1673	2111	580	787	2846	950	2921	610	461	2662	1317	1120	1413	2203	2474	574	1552	849	2216	559	2891	1443	2064	1469
1535	2702	2492	2530	918	2835	1416	2406	2196	2621	2044	1698	2604	2125	1870	1928	2117	2436	411	139	1779	1575	1805	2250	971	2781	1230	762	1365	2172	2560	643	1241	2705	1636	2523	3005	1983	1918	2683	1853	593	172	694	1343	1571	685	755	329	1329	674	194	282	2926	83	2375	241	1934	2876	2962	1107	42	536	717	142	1933	1770	2070	1501	1354	2285	2479	220	229	310	1348	60	1199	1453	1359	1330	2022	1923	1686	1998	1116	1827	1196	1122	2746	811	2025	945	1829	2986	1922	1076	2202	2471	1831	2580	276	1724	590	555	1824	2728	17	1816	1891	1081	472	1907	708	1188	61	417	1573	1023	2932	2669	727	1005	2872	396	2189	2093	1423	274	1228	3022	286	1492	609	712	31	2557	2640	2420	1262	2308	22	1980	1572	633	1879	1141	1844	780	672	1400	1493	941	322	2180	1176	2839	1047	1864	435	1415	1105	3013	1863	2380	2979	714	5	2221	359	930	391	2106	205	2164	2271	540	1257	1432	2051	1045	667	1625	2623	356	515	1132	39	1937	2615	617	1989	1374	2850	885	1272	84	622	597	2509
2897	2015	2996	1703	620	1302	2750	1345	2561	720	46	1861	1207	2103	2816	2220	41	2364	138	988	1732	1391	1100	517	690	193	407	236	1979	1815	1260	2400	2260	2360	1220	492	2904	1040	1002	166	2959	170	983	1175	2927	332	1620	2222	1763	2443	1683	2007	1472	2838	1517	942	2095	2031	927	392	547	207	1726	293	616	296	2761	1977	1367	2567	399	2072	1405	3010	57	2190	1065	2765	2139	947	2673	2	634	1265	2501	698	2110	854	2294	1445	1817	1202	2672	1628	1822	431	2967	2017	2674	1082	2771	1118	1701	2100	260	2148	50	2438	1314	337	2944	2341	1955	1893	1012	1381	1269	1192	1231	2869	30	2751	2499	640	251	805	2194	2262	845	2680	725	1860	493	2146	2334	2043	2716	778	89	1661	2918	1129	1483	959	858	1286	130	2339	2396	2762	1352	636	74	2502	1424	1157	2548	1383	2030	44	1895	2143	1901	2145	2885	2830	1037	502	433	1394	2016	2566	2797	2939	1801	2156	1018	701	341	2432	1962	1205	832	2760	1449	2985	2061	2410	736	2602	2719	2947	579	225	36	1250	1197	1720	584	877
1651	1058	1465	558	1614	1963	538	24	1347	495	2798	1085	2867	977	1691	2050	1252	543	1826	1334	1512	1680	2597	3004	1540	1353	2227	2740	2609	1450	1985	2635	628	512	1600	2414	679	2972	226	940	2144	503	2052	2696	1802	243	1486	2925	1971	1119	795	2527	2377	1158	1080	34	2193	928	2573	325	1109	250	2265	1821	745	2525	1900	117	2779	2063	592	1656	1350	2078	598	2999	511	2116	696	2763	1163	1316	638	2789	2124	1451	680	227	2213	993	1644	2468	956	2810	1327	2212	1627	2037	1419	1215	2346	454	1676	2045	2236	880	2205	2747	618	2984	2160	2512	373	2337	1597	1800	2254	10	1883	1929	2667	2336	2353	2441	1605	1038	581	740	374	430	347	134	1702	570	809	2379	1185	2739	1111	826	2268	423	428	1431	999	2564	513	635	340	43	1591	1033	591	2405	1545	1610	2617	2694	125	1534	2510	621	1744	2528	2695	1246	2639	2318	2624	398	1204	2158	1973	379	106	1046	169	1490	1340	646	1398	2177	2094	333	1927	2073	152	223	2871	2185	1290	726	2590	1523	1261	1536	1301	1186	3021	1137
1755	2708	1602	2616	532	1808	1569	335	189	2019	1612	2092	2449	330	55	2554	1819	1358	3026	682	1456	1892	2941	164	19	1709	2291	867	1283	683	506	938	1440	1566	796	2142	1506	1368	215	921	660	1178	1169	1847	132	1321	1147	285	1190	2714	870	662	2382	69	1533	1304	105	255	362	2345	2910	1553	2302	1574	2579	2576	2168	1339	2169	386	2709	467	2612	652	98	35	1184	2601	747	1406	1263	1679	177	827	1124	360	1278	1164	2356	647	2519	1990	3029	385	1484	1521	2230	1984	1872	2924	2024	2521	523	1093	254	710	37	916	1820	833	2568	1968	1091	361	1749	637	1810	2805	752	554	1681	1159	2689	2550	1217	2622	906	1798	1526	2950	213	427	176	1635	2794	678	1498	1156	1306	1640	58	1652	1768	789	47	2259	1823	2724	2435	1833	665	316	818	1180	2547	2691	2722	261	2536	1364	2466	2651	1906	2421	1867	1866	759	2793	416	785	92	2541	2014	535	2122	370	822	1809	2393	2119	1426	2723	1106	560	1088	2744	2594	1392	2863	288	1626	1969	459	761	11	2381	2917	1697	1342	663
823	1762	939	2907	3017	2505	1619	1436	551	2408	2053	2390	1741	64	2844	2563	230	994	346	1437	1256	1803	378	526	1500	2896	455	154	208	2039	45	2153	2335	2626	1150	1323	2879	1223	319	2721	1237	1441	686	768	1335	1931	1473	1730	1454	2811	1319	697	1298	1110	1743	2870	1862	881	1767	2645	2819	2920	2437	1114	2088	82	976	305	1641	673	1633	1337	779	147	2081	2777	420	283	312	87	716	2107	923	1557	797	1745	1944	353	2204	544	561	2991	214	1508	980	2908	210	2737	577	2232	632	1638	2963	81	2569	744	2132	528	1151	624	2009	550	645	2444	2516	1974	1914	2214	2398	2845	1584	1580	967	2741	658	984	1243	298	1898	16	2372	2938	2978	851	499	2258	1507	772	1719	458	2434	127	2889	1384	2895	830	2818	59	2454	300	572	253	2767	2296	465	91	2825	1789	1592	1227	2127	828	2813	763	891	1677	1947	709	2858	248	932	500	387	2476	1471	594	2786	2021	2176	257	1361	2321	2660	951	2834	1375	2049	1804	18	452	2936	1890	2020	995	1043	2851	2086	2101	2684	2035
2983	1017	338	1470	2134	1128	1618	2182	1142	1843	2383	2538	1140	2195	179	2881	368	729	907	1153	1965	1601	936	2269	2614	1410	1894	599	2814	1094	1559	1623	1430	804	519	700	2419	1994	2429	1313	1629	2005	1921	27	163	2800	219	2670	1247	1949	2769	669	1050	1935	453	1474	1499	2929	1550	2514	1193	1738	587	807	2475	2524	1850	705	2367	419	403	2319	2314	1210	1305	1232	677	2546	1715	934	269	2034	2069	2495	2011	165	1069	949	2306	1982	2295	1869	1083	1224	1144	2478	109	1549	2748	834	1213	377	530	2354	972	2815	1951	1355	892	1976	1382	829	2316	2742	1042	565	2373	2796	2745	1	1595	2988	2129	1585	327	1818	1554	2332	1226	2412	303	808	2775	1646	381	2233	2333	2403	263	1634	2198	287	1909	2727	844	1096	1420	2310	2252	1518	1873	1837	180	1993	2919	2464	819	741	1799	2582	2540	954	141	790	868	501	414	2163	1665	1514	596	2299	799	2909	675	746	171	1003	1911	1765	76	1344	1387	985	1389	2854	2389	252	1845	344	369	3025	2791	2589	2060	600	342	1896	3012	2880
